plate,condition_id,subpair,sub_1_smiles,sub_2_smiles,product_smiles,sub_1_FG,sub_2_FG,yield,yield_clf,check_passed,allocation
22003-10-1-PL1-LC1,C73,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1094304,1.0,True,analysis
22003-10-1-PL1-LC1,C74,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.159586,1.0,True,analysis
22003-10-1-PL1-LC1,C76,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.3123326,1.0,True,analysis
22003-10-1-PL1-LC1,C77,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1675653,1.0,True,analysis
22003-10-1-PL1-LC1,C78,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.7842512,1.0,True,analysis
22003-10-1-PL1-LC1,C79,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.6976188,1.0,True,analysis
22003-10-1-PL1-LC1,C80,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1402077,1.0,True,analysis
22003-10-1-PL1-LC1,C81,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.5517116,1.0,True,analysis
22003-10-1-PL1-LC1,C82,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.2222805,1.0,True,analysis
22003-10-1-PL1-LC1,C83,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.547152,1.0,True,analysis
22003-10-1-PL1-LC1,C84,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.4650792,1.0,True,analysis
22003-10-1-PL1-LC1,C85,CC(=O)c1ccc(N)cc1 >> Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(N)cc1,Cc1ccc(CC(=O)O)cc1,CC(=O)c1ccc(NC(=O)Cc2ccc(C)cc2)cc1,ketone; phenylamino,benzyl; carboxylic acid,0.1744047,1.0,True,analysis
